,CP,BDP,BDA,PPFL,HD,HL,SL,EW,ML,ForkLength,Year
GLCD_09_2019_Summer ,1.961735672,4.05421962,10.0692232,16.457229,8.731229132,12.06792177,4.67581191,1.84779,5.592184485,38.12,2019
GLCD_13_2019_Summer ,1.568633542,3.418783568,8.482980313,13.76387607,6.446118327,8.544512269,3.30875106,1.642230486,3.889668395,30.53,2019
GLCD_14_2019_Summer ,1.68194991,3.285165205,8.317240258,13.84811792,6.34169921,7.911275668,3.061133281,1.377661752,3.607212952,29.12,2019
GLCD_15_2019_Summer ,2.03030018,4.17129723,10.6261211,19.50916969,9.529387727,12.27653951,4.732899347,2.166405575,5.670655586,43.81,2019
GLCD_16_2019_Summer ,1.679788976,3.462036784,9.540574106,15.51954351,8.172310363,10.21003038,3.828075816,1.715908596,4.418873504,34.96,2019
GLCD_17_2019_Summer ,2.026276592,3.624184092,9.3819873,16.83042969,8.630916153,10.49979745,4.114928263,1.828935,4.071326754,NA,2019
GLCD_19_2019_Summer ,2.3896584,4.518821865,10.37768094,17.97349641,7.78860349,10.19282313,3.678925269,1.902030295,4.162143104,41.22,2019
GLCD_21_2019_Summer ,1.752670238,3.823095892,8.719435348,15.69599865,7.040869339,9.03494395,2.880237642,1.568541719,3.769858169,33.58,2019
GLCD_24_2019_Summer ,1.953988821,3.532054408,8.602324751,15.47505671,7.017798393,9.206849808,3.285434685,1.499833301,3.765305736,33.09,2019
GLCD_28_2019_Summer ,1.676924218,3.623747481,8.41924213,15.56814132,7.098157537,9.25892535,3.278490401,1.601678352,3.728489999,33.07,2019
GLCD_29_2019_Summer ,1.345806,2.923034025,6.758316949,12.00699236,5.781558725,7.333307838,2.638645825,1.345960468,2.995326157,25.19,2019
GLCD_30_2019_Summer ,1.848822866,3.767534203,8.929188918,15.62134763,6.8880583,10.01299264,3.750398066,1.733068411,4.190128556,34.04,2019
GLCD_35_2019_Summer ,2.027111027,4.343466116,10.52856106,17.08331283,8.065872594,9.77548,3.251964757,1.828419957,3.5631109,40.05,2019
GLCD_36_2019_Summer ,1.953726132,4.168519248,10.1810904,18.60240784,9.155367206,11.05116357,3.733628182,1.64339989,4.084377696,41.59,2019
GLCD_37_2019_Summer ,1.904192617,4.140953198,10.49456394,17.30470421,9.760649001,11.84384915,3.841999627,2.003968474,4.914830258,41.98,2019
GLCD_38_2019_Summer ,1.539169577,3.162221245,7.047173725,13.18571887,6.330398439,7.921291413,3.004159588,1.390629148,3.473638913,27.42,2019
GLCD_42_2019_Summer ,1.479658788,3.002268719,6.712584817,12.18951475,6.048098035,7.531865851,2.838033898,1.372506385,3.172652268,26.53,2019
GLCD_43_2019_Summer ,1.652892676,3.492089118,8.046599724,12.63016588,6.589821569,8.27338187,2.97944402,1.488236167,3.583324191,28.79,2019
GLCD_48_2019_Summer ,1.756467592,3.582532523,8.014476727,13.04485677,5.858529106,8.261383332,2.49293249,1.581818156,2.93879706,30.09,2019
GLCD_04_2019_Spring ,1.427950379,3.001448702,7.128994827,11.70684844,5.856539436,8.366115422,2.767096339,1.769931534,3.028973503,28.43,2019
GLCD_07_2019_Spring ,1.325675555,2.468021323,5.808207724,9.638662544,5.01520117,5.84813677,1.876533193,1.233285537,2.272565113,22.07,2019
GLCD_08_2019_Spring ,1.62894187,3.570575403,8.228623667,13.18037676,5.885032451,6.397826262,1.620664919,1.295288051,2.431942967,29.15,2019
GLCD_09_2019_Spring ,1.203867941,2.789272217,6.201850834,10.1625916,4.924347445,6.554691183,2.44200588,1.305467621,2.466445298,24.04,2019
GLCD_02_2019_Spring ,1.867204857,4.082617467,9.734709525,15.45212052,7.7217216,8.682015976,2.73218153,1.673558996,2.620295,34.9,2019
